field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
5,Науки об обществе,Архангельская область,2023,2085,79,368,0,78.96,NA
6,Образование и педагогические науки,Архангельская область,2023,1253,451,90,0,3.04,NA
7,Гуманитарные науки,Архангельская область,2023,346,96,35,0,13.59,NA
8,Искусство и культура,Архангельская область,2023,561,198,31,0,6.27,NA
2,"Инженерное дело, технологии и технические науки",Астраханская область,2016,7792,2967,1757,1345,4.54,1.59
3,Здравоохранение и медицинские науки,Астраханская область,2016,1217,464,2007,371,5.15,6.67
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2016,1025,328,55,27,4.77,2.05
5,Науки об обществе,Астраханская область,2016,1643,483,1438,1031,4.9,1.55
6,Образование и педагогические науки,Астраханская область,2016,425,75,204,75,6.17,1.9
7,Гуманитарные науки,Астраханская область,2016,122,25,104,37,4.88,2.91
8,Искусство и культура,Астраханская область,2016,653,285,50,49,3.2,1.03
2,"Инженерное дело, технологии и технические науки",Астраханская область,2017,7217,373,1957,66,14.69,4.52
3,Здравоохранение и медицинские науки,Астраханская область,2017,1090,119,1697,0,225.85,NA
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2017,628,86,53,54,6.22,NA
5,Науки об обществе,Астраханская область,2017,1401,164,1460,21,71.4,NA
6,Образование и педагогические науки,Астраханская область,2017,422,275,216,0,1.93,NA
7,Гуманитарные науки,Астраханская область,2017,117,74,67,0,1.58,NA
8,Искусство и культура,Астраханская область,2017,668,263,49,0,4.18,NA
2,"Инженерное дело, технологии и технические науки",Астраханская область,2018,7619,634,1969,68,155.08,3.44
3,Здравоохранение и медицинские науки,Астраханская область,2018,1275,83,1936,0,142.23,NA
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2018,901,82,94,73,7.08,NA
5,Науки об обществе,Астраханская область,2018,1466,219,1498,0,105.29,NA
6,Образование и педагогические науки,Астраханская область,2018,496,283,202,0,2.02,NA
7,Гуманитарные науки,Астраханская область,2018,176,106,81,0,1.66,NA
8,Искусство и культура,Астраханская область,2018,687,256,57,0,12.49,NA
2,"Инженерное дело, технологии и технические науки",Астраханская область,2019,8141,593,2184,0,74.24,NA
3,Здравоохранение и медицинские науки,Астраханская область,2019,1909,107,2648,0,443.75,NA
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2019,852,83,126,0,33.25,NA
5,Науки об обществе,Астраханская область,2019,1705,166,1965,0,48.84,NA
6,Образование и педагогические науки,Астраханская область,2019,501,235,218,0,2.67,NA
7,Гуманитарные науки,Астраханская область,2019,152,76,69,0,2,NA
8,Искусство и культура,Астраханская область,2019,756,268,82,0,25.23,NA
2,"Инженерное дело, технологии и технические науки",Астраханская область,2020,8693,543,2112,0,202.03,NA
3,Здравоохранение и медицинские науки,Астраханская область,2020,1329,114,2279,0,208.61,NA
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2020,781,78,104,0,6.32,NA
5,Науки об обществе,Астраханская область,2020,1988,139,2221,0,102.63,NA
6,Образование и педагогические науки,Астраханская область,2020,499,297,225,0,2.12,NA
7,Гуманитарные науки,Астраханская область,2020,145,76,43,0,1.91,NA
8,Искусство и культура,Астраханская область,2020,840,258,129,0,4.8,NA
2,"Инженерное дело, технологии и технические науки",Астраханская область,2021,9384,496,1787,0,339.92,NA
3,Здравоохранение и медицинские науки,Астраханская область,2021,1991,141,2859,0,357.75,NA
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2021,657,81,78,0,18.04,NA
5,Науки об обществе,Астраханская область,2021,2097,101,2438,0,189.02,NA
6,Образование и педагогические науки,Астраханская область,2021,419,269,185,0,1.77,NA
7,Гуманитарные науки,Астраханская область,2021,134,91,51,0,1.47,NA
8,Искусство и культура,Астраханская область,2021,922,235,161,0,114.18,NA
2,"Инженерное дело, технологии и технические науки",Астраханская область,2022,9309,548,2210,0,190.22,NA
3,Здравоохранение и медицинские науки,Астраханская область,2022,1935,111,2724,0,252.65,NA
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2022,739,80,89,0,26.96,NA
5,Науки об обществе,Астраханская область,2022,2919,286,2044,0,180.17,NA
6,Образование и педагогические науки,Астраханская область,2022,416,300,213,0,1.73,NA
7,Гуманитарные науки,Астраханская область,2022,118,77,62,0,1.53,NA
8,Искусство и культура,Астраханская область,2022,778,240,267,0,4.08,NA
2,"Инженерное дело, технологии и технические науки",Астраханская область,2023,10818,573,2534,0,635.74,NA
3,Здравоохранение и медицинские науки,Астраханская область,2023,1989,3,3667,0,171.04,NA
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2023,769,30,119,0,36.07,NA
5,Науки об обществе,Астраханская область,2023,1888,127,2754,0,147.69,NA
6,Образование и педагогические науки,Астраханская область,2023,647,256,170,0,2.98,NA
7,Гуманитарные науки,Астраханская область,2023,156,110,81,0,1.42,NA
8,Искусство и культура,Астраханская область,2023,904,246,274,0,95.92,NA
2,"Инженерное дело, технологии и технические науки",Белгородская область,2016,6359,4085,923,708,1.86,1.48
3,Здравоохранение и медицинские науки,Белгородская область,2016,1472,615,631,308,2.69,2.3
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2016,1929,883,427,334,3.12,1.32
5,Науки об обществе,Белгородская область,2016,1752,867,1026,731,2.95,1.49
6,Образование и педагогические науки,Белгородская область,2016,1065,440,3,3,2.82,1
7,Гуманитарные науки,Белгородская область,2016,442,123,23,5,4.15,3
8,Искусство и культура,Белгородская область,2016,450,244,259,161,2.47,1.85
2,"Инженерное дело, технологии и технические науки",Белгородская область,2017,6683,68,840,0,200.09,NA
3,Здравоохранение и медицинские науки,Белгородская область,2017,1133,190,602,0,6.65,NA
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2017,1541,8,309,0,150.73,NA
5,Науки об обществе,Белгородская область,2017,1805,109,1084,0,76.74,NA
6,Образование и педагогические науки,Белгородская область,2017,1133,484,3,0,2.57,NA
7,Гуманитарные науки,Белгородская область,2017,425,126,79,0,3.49,NA
8,Искусство и культура,Белгородская область,2017,553,253,353,0,2.27,NA
2,"Инженерное дело, технологии и технические науки",Белгородская область,2018,7918,69,1059,0,230.5,NA
3,Здравоохранение и медицинские науки,Белгородская область,2018,1247,131,934,0,163.22,NA
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2018,2190,8,309,0,114.81,NA
5,Науки об обществе,Белгородская область,2018,2216,48,1168,0,275.8,NA
6,Образование и педагогические науки,Белгородская область,2018,1240,430,93,0,3.11,NA
7,Гуманитарные науки,Белгородская область,2018,441,126,86,0,3.5,NA
8,Искусство и культура,Белгородская область,2018,601,310,332,0,1.92,NA
2,"Инженерное дело, технологии и технические науки",Белгородская область,2019,8921,79,1216,0,234.36,NA
3,Здравоохранение и медицинские науки,Белгородская область,2019,1390,163,976,0,52.15,NA
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2019,1913,5,253,0,177.36,NA
5,Науки об обществе,Белгородская область,2019,2564,26,1334,0,106.89,NA
6,Образование и педагогические науки,Белгородская область,2019,1658,628,232,0,3.05,NA
7,Гуманитарные науки,Белгородская область,2019,533,153,66,0,3.7,NA
8,Искусство и культура,Белгородская область,2019,641,338,410,0,1.8,NA
2,"Инженерное дело, технологии и технические науки",Белгородская область,2020,11128,107,1641,0,195.69,NA
3,Здравоохранение и медицинские науки,Белгородская область,2020,2406,174,1428,0,133.72,NA
4,Сельское хозяйство и сельскохозяйственные науки,Белгородская область,2020,2178,7,327,0,153.46,NA
5,Науки об обществе,Белгородская область,2020,3101,35,2178,0,162.06,NA
6,Образование и педагогические науки,Белгородская область,2020,1912,635,236,0,3.26,NA
7,Гуманитарные науки,Белгородская область,2020,615,128,141,0,4.92,NA
8,Искусство и культура,Белгородская область,2020,838,332,329,0,2.72,NA
