field,field_name,region,year,applied_budget_total_sum,accepted_budget_total_sum,applied_commerc_sum,accepted_commerc_sum,konkurs_budget_mean,konkurs_commerce_mean
7,Гуманитарные науки,Астраханская область,2016,198,14,276,120,15.27,4.09
8,Искусство и культура,Астраханская область,2016,200,67,52,16,3.73,10.09
1,Математические и естественные науки,Астраханская область,2017,1060,205,291,26,5.39,10.27
2,"Инженерное дело, технологии и технические науки",Астраханская область,2017,5841,1194,2234,950,6.1,3.69
3,Здравоохранение и медицинские науки,Астраханская область,2017,4075,306,2864,501,19.07,6.25
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2017,547,139,52,13,4.17,2.06
5,Науки об обществе,Астраханская область,2017,2330,201,4312,2073,16.32,2.93
6,Образование и педагогические науки,Астраханская область,2017,2810,550,1298,581,5.36,3.43
7,Гуманитарные науки,Астраханская область,2017,242,15,284,125,17.74,2.31
8,Искусство и культура,Астраханская область,2017,207,66,44,17,3.92,3.91
1,Математические и естественные науки,Астраханская область,2018,1133,221,289,58,5.61,6.72
2,"Инженерное дело, технологии и технические науки",Астраханская область,2018,6637,1182,2136,1034,6.89,3.12
3,Здравоохранение и медицинские науки,Астраханская область,2018,3797,306,2858,467,19,6.23
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2018,670,155,67,7,4.71,5.23
5,Науки об обществе,Астраханская область,2018,2075,240,3661,1634,12.94,3.19
6,Образование и педагогические науки,Астраханская область,2018,2752,540,1462,633,5.51,3.12
7,Гуманитарные науки,Астраханская область,2018,310,22,302,119,24.65,3.02
8,Искусство и культура,Астраханская область,2018,264,86,42,15,3.99,5.57
1,Математические и естественные науки,Астраханская область,2019,1153,203,322,72,6.53,7.48
2,"Инженерное дело, технологии и технические науки",Астраханская область,2019,6558,1246,2475,1171,6.7,4.69
3,Здравоохранение и медицинские науки,Астраханская область,2019,4534,308,3583,474,23.85,7.88
4,Сельское хозяйство и сельскохозяйственные науки,Астраханская область,2019,580,147,80,22,4.62,3.45
5,Науки об обществе,Астраханская область,2019,2459,273,3359,1508,11.29,2.91
