Раздел области;Область образования (наименование);Код укрупненной группы;СПО/ВО;Образовательный уровень (по направлениям);Код специальности / Наименование специальности (официальная версия);Код специальности / Наименование специальности;Код специальности (ОКСО);Наименование специальности (ОКСО);Отрасль №1 (основная);Отрасль №2;Отрасль №3
field;field_name;group_code_name;edulvl;edulvl_2;code_name;code_name_full;code;spec;industry1;industry2;industry3
4;Сельское хозяйство и сельскохозяйственные науки;4.35.00.00 - Сельское, лесное и рыбное хозяйство;ВО;Бакалавриат;4.35.03.10 - Ландшафтная архитектура;35.03.10 - Ландшафтная архитектура;35.03.10;Ландшафтная архитектура;Агропромышленность;;
4;Сельское хозяйство и сельскохозяйственные науки;4.35.00.00 - Сельское, лесное и рыбное хозяйство;ВО;Бакалавриат;4.35.03.11 - Гидромелиорация;35.03.11 - Гидромелиорация;35.03.11;Гидромелиорация;Архитектура, строительство и недвижимость;;
4;Сельское хозяйство и сельскохозяйственные науки;4.36.00.00 - Ветеринария и зоотехния;СПО;Подготовка квалифицированных рабочих, служащих;4.36.01.01 - Младший ветеринарный фельдшер;36.01.01 - Младший ветеринарный фельдшер;36.01.01;Младший ветеринарный фельдшер;Здравоохранение и медицина;;
4;Сельское хозяйство и сельскохозяйственные науки;4.36.00.00 - Ветеринария и зоотехния;СПО;Подготовка квалифицированных рабочих, служащих;4.36.01.02 - Мастер животноводства;36.01.02 - Мастер животноводства;36.01.02;Мастер животноводства;Агропромышленность;;
4;Сельское хозяйство и сельскохозяйственные науки;4.36.00.00 - Ветеринария и зоотехния;СПО;Подготовка квалифицированных рабочих, служащих;4.36.01.03 - Тренер-наездник лошадей;36.01.03 - Тренер-наездник лошадей;36.01.03;Тренер-наездник лошадей;Агропромышленность;;
4;Сельское хозяйство и сельскохозяйственные науки;4.36.00.00 - Ветеринария и зоотехния;СПО;Подготовка квалифицированных рабочих, служащих;;;36.01.04;Пчеловод;;;
4;Сельское хозяйство и сельскохозяйственные науки;4.36.00.00 - Ветеринария и зоотехния;СПО;Подготовка специалистов среднего звена;4.36.02.01 - Ветеринария;36.02.01 - Ветеринария;36.02.01;Ветеринария;Здравоохранение и медицина;;
4;Сельское хозяйство и сельскохозяйственные науки;4.36.00.00 - Ветеринария и зоотехния;СПО;Подготовка специалистов среднего звена;4.36.02.02 - Зоотехния;36.02.02 - Зоотехния;36.02.02;Зоотехния;Агропромышленность;;
4;Сельское хозяйство и сельскохозяйственные науки;4.36.00.00 - Ветеринария и зоотехния;ВО;Бакалавриат;4.36.03.01 - Ветеринарно-санитарная экспертиза;36.03.01 - Ветеринарно-санитарная экспертиза;36.03.01;Ветеринарно-санитарная экспертиза;Здравоохранение и медицина;;
4;Сельское хозяйство и сельскохозяйственные науки;4.36.00.00 - Ветеринария и зоотехния;ВО;Бакалавриат;4.36.03.02 - Зоотехния;36.03.02 - Зоотехния;36.03.02;Зоотехния;Агропромышленность;;
4;Сельское хозяйство и сельскохозяйственные науки;4.36.00.00 - Ветеринария и зоотехния;ВО;Специалитет;4.36.05.01 - Ветеринария;36.05.01 - Ветеринария;36.05.01;Ветеринария;Здравоохранение и медицина;;
5;Науки об обществе;5.37.00.00 - Психологические науки;ВО;Бакалавриат;5.37.03.01 - Психология;37.03.01 - Психология;37.03.01;Психология;Здравоохранение и медицина;Образование и наука;Государственные и социальные сервисы
5;Науки об обществе;5.37.00.00 - Психологические науки;ВО;Бакалавриат;5.37.03.02 - Конфликтология;37.03.02 - Конфликтология;37.03.02;Конфликтология;Государственные и социальные сервисы;;
5;Науки об обществе;5.37.00.00 - Психологические науки;ВО;Специалитет;5.37.05.01 - Клиническая психология;37.05.01 - Клиническая психология;37.05.01;Клиническая психология;Здравоохранение и медицина;;
5;Науки об обществе;5.37.00.00 - Психологические науки;ВО;Специалитет;5.37.05.02 - Психология служебной деятельности;37.05.02 - Психология служебной деятельности;37.05.02;Психология служебной деятельности;Государственные и социальные сервисы;;
5;Науки об обществе;5.38.00.00 - Экономика и управление;СПО;Подготовка квалифицированных рабочих, служащих;5.38.01.01 - Оператор диспетчерской (производственно-диспетчерской) службы;38.01.01 - Оператор диспетчерской (производственно-диспетчерской) службы;38.01.01;Оператор диспетчерской (производственно-диспетчерской) службы;Бизнес, менеджмент и деловые услуги;;
5;Науки об обществе;5.38.00.00 - Экономика и управление;СПО;Подготовка квалифицированных рабочих, служащих;5.38.01.02 - Продавец, контролер-кассир;38.01.02 - Продавец, контролер-кассир;38.01.02;Продавец, контролер-кассир;Торговля;;
5;Науки об обществе;5.38.00.00 - Экономика и управление;СПО;Подготовка квалифицированных рабочих, служащих;5.38.01.03 - Контролер банка;38.01.03 - Контролер банка;38.01.03;Контролер банка;Финансы и страхование;;
5;Науки об обществе;5.38.00.00 - Экономика и управление;СПО;Подготовка специалистов среднего звена;5.38.02.01 - Экономика и бухгалтерский учет (по отраслям);38.02.01 - Экономика и бухгалтерский учет (по отраслям);38.02.01;Экономика и бухгалтерский учет (по отраслям);Бизнес, менеджмент и деловые услуги;Финансы и страхование;
5;Науки об обществе;5.38.00.00 - Экономика и управление;СПО;Подготовка специалистов среднего звена;5.38.02.02 - Страховое дело (по отраслям);38.02.02 - Страховое дело (по отраслям);38.02.02;Страховое дело (по отраслям);Финансы и страхование;Бизнес, менеджмент и деловые услуги;
5;Науки об обществе;5.38.00.00 - Экономика и управление;СПО;Подготовка специалистов среднего звена;5.38.02.03 - Операционная деятельность в логистике;38.02.03 - Операционная деятельность в логистике;38.02.03;Операционная деятельность в логистике;Транспорт и логистика;Бизнес, менеджмент и деловые услуги;
5;Науки об обществе;5.38.00.00 - Экономика и управление;СПО;Подготовка специалистов среднего звена;5.38.02.04 - Коммерция (по отраслям);38.02.04 - Коммерция (по отраслям);38.02.04;Коммерция (по отраслям);Торговля;Бизнес, менеджмент и деловые услуги;Культура и искусство
5;Науки об обществе;5.38.00.00 - Экономика и управление;СПО;Подготовка специалистов среднего звена;5.38.02.05 - Товароведение и экспертиза качества потребительских товаров;38.02.05 - Товароведение и экспертиза качества потребительских товаров;38.02.05;Товароведение и экспертиза качества потребительских товаров;Торговля;;
5;Науки об обществе;5.38.00.00 - Экономика и управление;СПО;Подготовка специалистов среднего звена;5.38.02.06 - Финансы;38.02.06 - Финансы;38.02.06;Финансы;Финансы и страхование;;
5;Науки об обществе;5.38.00.00 - Экономика и управление;СПО;Подготовка специалистов среднего звена;5.38.02.07 - Банковское дело;38.02.07 - Банковское дело;38.02.07;Банковское дело;Финансы и страхование;;
5;Науки об обществе;5.38.00.00 - Экономика и управление;СПО;Подготовка специалистов среднего звена;;;38.02.08;Торговое дело;;;
5;Науки об обществе;5.38.00.00 - Экономика и управление;ВО;Бакалавриат;5.38.03.01 - Экономика;38.03.01 - Экономика;38.03.01;Экономика;Финансы и страхование;Бизнес, менеджмент и деловые услуги;Торговля
5;Науки об обществе;5.38.00.00 - Экономика и управление;ВО;Бакалавриат;5.38.03.02 - Менеджмент;38.03.02 - Менеджмент;38.03.02;Менеджмент;Бизнес, менеджмент и деловые услуги;Торговля;Государственные и социальные сервисы
5;Науки об обществе;5.38.00.00 - Экономика и управление;ВО;Бакалавриат;5.38.03.03 - Управление персоналом;38.03.03 - Управление персоналом;38.03.03;Управление персоналом;Бизнес, менеджмент и деловые услуги;Государственные и социальные сервисы;
5;Науки об обществе;5.38.00.00 - Экономика и управление;ВО;Бакалавриат;5.38.03.04 - Государственное и муниципальное управление;38.03.04 - Государственное и муниципальное управление;38.03.04;Государственное и муниципальное управление;Государственные и социальные сервисы;Юридические институты;
5;Науки об обществе;5.38.00.00 - Экономика и управление;ВО;Бакалавриат;5.38.03.05 - Бизнес-информатика;38.03.05 - Бизнес-информатика;38.03.05;Бизнес-информатика;Информационные технологии (IT) и телекоммуникации;Бизнес, менеджмент и деловые услуги;
5;Науки об обществе;5.38.00.00 - Экономика и управление;ВО;Бакалавриат;5.38.03.06 - Торговое дело;38.03.06 - Торговое дело;38.03.06;Торговое дело;Торговля;;
5;Науки об обществе;5.38.00.00 - Экономика и управление;ВО;Бакалавриат;5.38.03.07 - Товароведение;38.03.07 - Товароведение;38.03.07;Товароведение;Торговля;;
5;Науки об обществе;5.38.00.00 - Экономика и управление;ВО;Бакалавриат;5.38.03.10 - Жилищное хозяйство и коммунальная инфраструктура;38.03.10 - Жилищное хозяйство и коммунальная инфраструктура;38.03.10;Жилищное хозяйство и коммунальная инфраструктура;Архитектура, строительство и недвижимость;;
5;Науки об обществе;5.38.00.00 - Экономика и управление;ВО;Специалитет;5.38.05.01 - Экономическая безопасность;38.05.01 - Экономическая безопасность;38.05.01;Экономическая безопасность;Финансы и страхование;Бизнес, менеджмент и деловые услуги;
5;Науки об обществе;5.38.00.00 - Экономика и управление;ВО;Специалитет;5.38.05.02 - Таможенное дело;38.05.02 - Таможенное дело;38.05.02;Таможенное дело;Безопасность;;
5;Науки об обществе;5.39.00.00 - Социология и социальная работа;СПО;Подготовка квалифицированных рабочих, служащих;5.39.01.01 - Социальный работник;39.01.01 - Социальный работник;39.01.01;Социальный работник;Государственные и социальные сервисы;;
5;Науки об обществе;5.39.00.00 - Социология и социальная работа;СПО;Подготовка специалистов среднего звена;5.39.02.01 - Социальная работа;39.02.01 - Социальная работа;39.02.01;Социальная работа;Государственные и социальные сервисы;;
5;Науки об обществе;5.39.00.00 - Социология и социальная работа;СПО;Подготовка специалистов среднего звена;5.39.02.02 - Организация сурдокоммуникации;39.02.02 - Организация сурдокоммуникации;39.02.02;Организация сурдокоммуникации;Государственные и социальные сервисы;;
5;Науки об обществе;5.39.00.00 - Социология и социальная работа;СПО;Подготовка специалистов среднего звена;5.39.02.03 - Обеспечение деятельности службы занятости населения;39.02.03 - Обеспечение деятельности службы занятости населения;39.02.03;Обеспечение деятельности службы занятости населения;Государственные и социальные сервисы;;
5;Науки об обществе;5.39.00.00 - Социология и социальная работа;ВО;Бакалавриат;5.39.03.01 - Социология;39.03.01 - Социология;39.03.01;Социология;Государственные и социальные сервисы;Бизнес, менеджмент и деловые услуги;Красота и мода
5;Науки об обществе;5.39.00.00 - Социология и социальная работа;ВО;Бакалавриат;5.39.03.02 - Социальная работа;39.03.02 - Социальная работа;39.03.02;Социальная работа;Государственные и социальные сервисы;;
5;Науки об обществе;5.39.00.00 - Социология и социальная работа;ВО;Бакалавриат;5.39.03.03 - Организация работы с молодежью;39.03.03 - Организация работы с молодежью;39.03.03;Организация работы с молодежью;Государственные и социальные сервисы;;
5;Науки об обществе;5.40.00.00 - Юриспруденция;СПО;Подготовка специалистов среднего звена;5.40.02.01 - Право и организация социального обеспечения;40.02.01 - Право и организация социального обеспечения;40.02.01;Право и организация социального обеспечения;Юридические институты;;
5;Науки об обществе;5.40.00.00 - Юриспруденция;СПО;Подготовка специалистов среднего звена;5.40.02.02 - Правоохранительная деятельность;40.02.02 - Правоохранительная деятельность;40.02.02;Правоохранительная деятельность;Безопасность;Юридические институты;
5;Науки об обществе;5.40.00.00 - Юриспруденция;СПО;Подготовка специалистов среднего звена;5.40.02.03 - Право и судебное администрирование;40.02.03 - Право и судебное администрирование;40.02.03;Право и судебное администрирование;Юридические институты;;
5;Науки об обществе;5.40.00.00 - Юриспруденция;СПО;Подготовка специалистов среднего звена;5.40.02.04 - Юриспруденция;40.02.04 - Юриспруденция;40.02.04;Юриспруденция;Юридические институты;;
5;Науки об обществе;5.40.00.00 - Юриспруденция;ВО;Бакалавриат;5.40.03.01 - Юриспруденция;40.03.01 - Юриспруденция;40.03.01;Юриспруденция;Юридические институты;Безопасность;
5;Науки об обществе;5.40.00.00 - Юриспруденция;ВО;Бакалавриат;5.40.03.02 - Обеспечение законности и правопорядка;40.03.02 - Обеспечение законности и правопорядка;40.03.02;Обеспечение законности и правопорядка;Безопасность;Юридические институты;
5;Науки об обществе;5.40.00.00 - Юриспруденция;ВО;Специалитет;5.40.05.01 - Правовое обеспечение национальной безопасности;40.05.01 - Правовое обеспечение национальной безопасности;40.05.01;Правовое обеспечение национальной безопасности;Безопасность;Юридические институты;
5;Науки об обществе;5.40.00.00 - Юриспруденция;ВО;Специалитет;5.40.05.02 - Правоохранительная деятельность;40.05.02 - Правоохранительная деятельность;40.05.02;Правоохранительная деятельность;Безопасность;Юридические институты;
5;Науки об обществе;5.40.00.00 - Юриспруденция;ВО;Специалитет;5.40.05.03 - Судебная экспертиза;40.05.03 - Судебная экспертиза;40.05.03;Судебная экспертиза;Юридические институты;Безопасность;
5;Науки об обществе;5.40.00.00 - Юриспруденция;ВО;Специалитет;5.40.05.04 - Судебная и прокурорская деятельность;40.05.04 - Судебная и прокурорская деятельность;40.05.04;Судебная и прокурорская деятельность;Юридические институты;;
5;Науки об обществе;5.41.00.00 - Политические науки и регионоведение;ВО;Бакалавриат;5.41.03.01 - Зарубежное регионоведение;41.03.01 - Зарубежное регионоведение;41.03.01;Зарубежное регионоведение;Государственные и социальные сервисы;;
5;Науки об обществе;5.41.00.00 - Политические науки и регионоведение;ВО;Бакалавриат;5.41.03.02 - Регионоведение России;41.03.02 - Регионоведение России;41.03.02;Регионоведение России;Государственные и социальные сервисы;;
5;Науки об обществе;5.41.00.00 - Политические науки и регионоведение;ВО;Бакалавриат;5.41.03.03 - Востоковедение и африканистика;41.03.03 - Востоковедение и африканистика;41.03.03;Востоковедение и африканистика;Государственные и социальные сервисы;;
5;Науки об обществе;5.41.00.00 - Политические науки и регионоведение;ВО;Бакалавриат;5.41.03.04 - Политология;41.03.04 - Политология;41.03.04;Политология;Государственные и социальные сервисы;Юридические институты;СМИ, медиа и развлечения
5;Науки об обществе;5.41.00.00 - Политические науки и регионоведение;ВО;Бакалавриат;5.41.03.05 - Международные отношения;41.03.05 - Международные отношения;41.03.05;Международные отношения;Государственные и социальные сервисы;Финансы и страхование;
5;Науки об обществе;5.41.00.00 - Политические науки и регионоведение;ВО;Бакалавриат;5.41.03.06 - Публичная политика и социальные науки;41.03.06 - Публичная политика и социальные науки;41.03.06;Публичная политика и социальные науки;Государственные и социальные сервисы;;
5;Науки об обществе;5.42.00.00 - Средства массовой информации и информационно-библиотечное дело;СПО;Подготовка квалифицированных рабочих, служащих;5.42.01.01 - Агент рекламный;42.01.01 - Агент рекламный;42.01.01;Агент рекламный;Бизнес, менеджмент и деловые услуги;;
5;Науки об обществе;5.42.00.00 - Средства массовой информации и информационно-библиотечное дело;СПО;Подготовка специалистов среднего звена;5.42.02.01 - Реклама;42.02.01 - Реклама;42.02.01;Реклама;Бизнес, менеджмент и деловые услуги;СМИ, медиа и развлечения;
5;Науки об обществе;5.42.00.00 - Средства массовой информации и информационно-библиотечное дело;СПО;Подготовка специалистов среднего звена;5.42.02.02 - Издательское дело;42.02.02 - Издательское дело;42.02.02;Издательское дело;СМИ, медиа и развлечения;;
5;Науки об обществе;5.42.00.00 - Средства массовой информации и информационно-библиотечное дело;ВО;Бакалавриат;5.42.03.01 - Реклама и связи с общественностью;42.03.01 - Реклама и связи с общественностью;42.03.01;Реклама и связи с общественностью;Бизнес, менеджмент и деловые услуги;СМИ, медиа и развлечения;
5;Науки об обществе;5.42.00.00 - Средства массовой информации и информационно-библиотечное дело;ВО;Бакалавриат;5.42.03.02 - Журналистика;42.03.02 - Журналистика;42.03.02;Журналистика;СМИ, медиа и развлечения;Бизнес, менеджмент и деловые услуги;Спорт
5;Науки об обществе;5.42.00.00 - Средства массовой информации и информационно-библиотечное дело;ВО;Бакалавриат;5.42.03.03 - Издательское дело;42.03.03 - Издательское дело;42.03.03;Издательское дело;СМИ, медиа и развлечения;Бизнес, менеджмент и деловые услуги;
5;Науки об обществе;5.42.00.00 - Средства массовой информации и информационно-библиотечное дело;ВО;Бакалавриат;5.42.03.04 - Телевидение;42.03.04 - Телевидение;42.03.04;Телевидение;СМИ, медиа и развлечения;Бизнес, менеджмент и деловые услуги;
5;Науки об обществе;5.42.00.00 - Средства массовой информации и информационно-библиотечное дело;ВО;Бакалавриат;5.42.03.05 - Медиакоммуникации;42.03.05 - Медиакоммуникации;42.03.05;Медиакоммуникации;Бизнес, менеджмент и деловые услуги;СМИ, медиа и развлечения;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка квалифицированных рабочих, служащих;5.43.01.01 - Официант, бармен;43.01.01 - Официант, бармен;43.01.01;Официант, бармен;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка квалифицированных рабочих, служащих;5.43.01.02 - Парикмахер;43.01.02 - Парикмахер;43.01.02;Парикмахер;Красота и мода;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка квалифицированных рабочих, служащих;5.43.01.03 - Бортпроводник судовой;43.01.03 - Бортпроводник судовой;43.01.03;Бортпроводник судовой;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка квалифицированных рабочих, служащих;5.43.01.04 - Повар судовой;43.01.04 - Повар судовой;43.01.04;Повар судовой;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка квалифицированных рабочих, служащих;5.43.01.05 - Оператор по обработке перевозочных документов на железнодорожном транспорте;43.01.05 - Оператор по обработке перевозочных документов на железнодорожном транспорте;43.01.05;Оператор по обработке перевозочных документов на железнодорожном транспорте;Транспорт и логистика;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка квалифицированных рабочих, служащих;5.43.01.06 - Проводник на железнодорожном транспорте;43.01.06 - Проводник на железнодорожном транспорте;43.01.06;Проводник на железнодорожном транспорте;Транспорт и логистика;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка квалифицированных рабочих, служащих;5.43.01.07 - Слесарь по эксплуатации и ремонту газового оборудования;43.01.07 - Слесарь по эксплуатации и ремонту газового оборудования;43.01.07;Слесарь по эксплуатации и ремонту газового оборудования;Топливно-энергетический комплекс (ТЭК);;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка квалифицированных рабочих, служащих;5.43.01.08 - Аппаратчик химической чистки;43.01.08 - Аппаратчик химической чистки;43.01.08;Аппаратчик химической чистки;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка квалифицированных рабочих, служащих;5.43.01.09 - Повар, кондитер;43.01.09 - Повар, кондитер;43.01.09;Повар, кондитер;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.01 - Организация обслуживания в общественном питании;43.02.01 - Организация обслуживания в общественном питании;43.02.01;Организация обслуживания в общественном питании;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.02 - Парикмахерское искусство;43.02.02 - Парикмахерское искусство;43.02.02;Парикмахерское искусство;Красота и мода;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.03 - Стилистика и искусство визажа;43.02.03 - Стилистика и искусство визажа;43.02.03;Стилистика и искусство визажа;Красота и мода;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.04 - Прикладная эстетика;43.02.04 - Прикладная эстетика;43.02.04;Прикладная эстетика;Красота и мода;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.05 - Флористика;43.02.05 - Флористика;43.02.05;Флористика;Красота и мода;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.06 - Сервис на транспорте (по видам транспорта);43.02.06 - Сервис на транспорте (по видам транспорта);43.02.06;Сервис на транспорте (по видам транспорта);Транспорт и логистика;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.07 - Сервис по химической обработке изделий;43.02.07 - Сервис по химической обработке изделий;43.02.07;Сервис по химической обработке изделий;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.08 - Сервис домашнего и коммунального хозяйства;43.02.08 - Сервис домашнего и коммунального хозяйства;43.02.08;Сервис домашнего и коммунального хозяйства;Архитектура, строительство и недвижимость;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.09 - Ритуальный сервис;43.02.09 - Ритуальный сервис;43.02.09;Ритуальный сервис;Государственные и социальные сервисы;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.10 - Туризм;43.02.10 - Туризм;43.02.10;Туризм;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.11 - Гостиничный сервис;43.02.11 - Гостиничный сервис;43.02.11;Гостиничный сервис;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.12 - Технология эстетических услуг;43.02.12 - Технология эстетических услуг;43.02.12;Технология эстетических услуг;Красота и мода;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.13 - Технология парикмахерского искусства;43.02.13 - Технология парикмахерского искусства;43.02.13;Технология парикмахерского искусства;Красота и мода;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.14 - Гостиничное дело;43.02.14 - Гостиничное дело;43.02.14;Гостиничное дело;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.15 - Поварское и кондитерское дело;43.02.15 - Поварское и кондитерское дело;43.02.15;Поварское и кондитерское дело;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.11 - Гостиничный сервис;43.02.11 - Гостиничный сервис;43.02.11;Гостиничный сервис;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.15 - Поварское и кондитерское дело;43.02.15 - Поварское и кондитерское дело;43.02.15;Поварское и кондитерское дело;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.16 - Туризм и гостеприимство;43.02.16 - Туризм и гостеприимство;43.02.16;Туризм и гостеприимство;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;СПО;Подготовка специалистов среднего звена;5.43.02.17 - Технологии индустрии красоты;43.02.17 - Технологии индустрии красоты;43.02.17;Технологии индустрии красоты;Красота и мода;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;ВО;Бакалавриат;5.43.03.01 - Сервис;43.03.01 - Сервис;43.03.01;Сервис;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;ВО;Бакалавриат;5.43.03.02 - Туризм;43.03.02 - Туризм;43.03.02;Туризм;Туризм, ресторанный и гостиничный бизнес;;
5;Науки об обществе;5.43.00.00 - Сервис и туризм;ВО;Бакалавриат;5.43.03.03 - Гостиничное дело;43.03.03 - Гостиничное дело;43.03.03;Гостиничное дело;Туризм, ресторанный и гостиничный бизнес;;
6;Образование и педагогические науки;6.44.00.00 - Образование и педагогические науки;СПО;Подготовка специалистов среднего звена;6.44.02.01 - Дошкольное образование;44.02.01 - Дошкольное образование;44.02.01;Дошкольное образование;Образование и наука;;
6;Образование и педагогические науки;6.44.00.00 - Образование и педагогические науки;СПО;Подготовка специалистов среднего звена;6.44.02.02 - Преподавание в начальных классах;44.02.02 - Преподавание в начальных классах;44.02.02;Преподавание в начальных классах;Образование и наука;;
6;Образование и педагогические науки;6.44.00.00 - Образование и педагогические науки;СПО;Подготовка специалистов среднего звена;6.44.02.03 - Педагогика дополнительного образования;44.02.03 - Педагогика дополнительного образования;44.02.03;Педагогика дополнительного образования;Образование и наука;;
6;Образование и педагогические науки;6.44.00.00 - Образование и педагогические науки;СПО;Подготовка специалистов среднего звена;6.44.02.04 - Специальное дошкольное образование;44.02.04 - Специальное дошкольное образование;44.02.04;Специальное дошкольное образование;Образование и наука;;
6;Образование и педагогические науки;6.44.00.00 - Образование и педагогические науки;СПО;Подготовка специалистов среднего звена;6.44.02.05 - Коррекционная педагогика в начальном образовании;44.02.05 - Коррекционная педагогика в начальном образовании;44.02.05;Коррекционная педагогика в начальном образовании;Образование и наука;;
6;Образование и педагогические науки;6.44.00.00 - Образование и педагогические науки;СПО;Подготовка специалистов среднего звена;6.44.02.06 - Профессиональное обучение (по отраслям);44.02.06 - Профессиональное обучение (по отраслям);44.02.06;Профессиональное обучение (по отраслям);Образование и наука;;
6;Образование и педагогические науки;6.44.00.00 - Образование и педагогические науки;ВО;Бакалавриат;6.44.03.01 - Педагогическое образование;44.03.01 - Педагогическое образование;44.03.01;Педагогическое образование;Образование и наука;;
6;Образование и педагогические науки;6.44.00.00 - Образование и педагогические науки;ВО;Бакалавриат;6.44.03.02 - Психолого-педагогическое образование;44.03.02 - Психолого-педагогическое образование;44.03.02;Психолого-педагогическое образование;Образование и наука;;
6;Образование и педагогические науки;6.44.00.00 - Образование и педагогические науки;ВО;Бакалавриат;6.44.03.03 - Специальное (дефектологическое) образование;44.03.03 - Специальное (дефектологическое) образование;44.03.03;Специальное (дефектологическое) образование;Образование и наука;;
6;Образование и педагогические науки;6.44.00.00 - Образование и педагогические науки;ВО;Бакалавриат;6.44.03.04 - Профессиональное обучение (по отраслям);44.03.04 - Профессиональное обучение (по отраслям);44.03.04;Профессиональное обучение (по отраслям);Образование и наука;;
6;Образование и педагогические науки;6.44.00.00 - Образование и педагогические науки;ВО;Бакалавриат;6.44.03.05 - Педагогическое образование (с двумя профилями подготовки);44.03.05 - Педагогическое образование (с двумя профилями подготовки);44.03.05;Педагогическое образование (с двумя профилями подготовки);Образование и наука;;
