field;field_name;group_code_name;edulvl;edulvl_2;code_name_official;code_name;code_old;code;spec_name;comment
2;Инженерное дело, технологии и технические науки;2.10.00.00 - Информационная безопасность;СПО;Подготовка специалистов среднего звена;2.10.02.04 - Обеспечение информационной безопасности телекоммуникационных систем;10.02.04 - Обеспечение информационной безопасности телекоммуникационных систем;;10.02.04;Обеспечение информационной безопасности телекоммуникационных систем;
2;Инженерное дело, технологии и технические науки;2.10.00.00 - Информационная безопасность;СПО;Подготовка специалистов среднего звена;2.10.02.05 - Обеспечение информационной безопасности автоматизированных систем;10.02.05 - Обеспечение информационной безопасности автоматизированных систем;;10.02.05;Обеспечение информационной безопасности автоматизированных систем;
2;Инженерное дело, технологии и технические науки;2.10.00.00 - Информационная безопасность;ВО;Специалитет;2.10.05.01 - Компьютерная безопасность;10.05.01 - Компьютерная безопасность;;10.05.01;Компьютерная безопасность;
2;Инженерное дело, технологии и технические науки;2.10.00.00 - Информационная безопасность;ВО;Специалитет;2.10.05.02 - Информационная безопасность телекоммуникационных систем;10.05.02 - Информационная безопасность телекоммуникационных систем;;10.05.02;Информационная безопасность телекоммуникационных систем;
2;Инженерное дело, технологии и технические науки;2.10.00.00 - Информационная безопасность;ВО;Специалитет;2.10.05.03 - Информационная безопасность автоматизированных систем;10.05.03 - Информационная безопасность автоматизированных систем;;10.05.03;Информационная безопасность автоматизированных систем;
2;Инженерное дело, технологии и технические науки;2.10.00.00 - Информационная безопасность;ВО;Специалитет;2.10.05.04 - Информационно-аналитические системы безопасности;10.05.04 - Информационно-аналитические системы безопасности;;10.05.04;Информационно-аналитические системы безопасности;
2;Инженерное дело, технологии и технические науки;2.10.00.00 - Информационная безопасность;ВО;Специалитет;2.10.05.05 - Безопасность информационных технологий в правоохранительной сфере;10.05.05 - Безопасность информационных технологий в правоохранительной сфере;;10.05.05;Безопасность информационных технологий в правоохранительной сфере;
2;Инженерное дело, технологии и технические науки;2.11.00.00 - Электроника, радиотехника и системы связи;ВО;Бакалавриат;2.11.03.01 - Радиотехника;11.03.01 - Радиотехника;;11.03.01;Радиотехника;
2;Инженерное дело, технологии и технические науки;2.11.00.00 - Электроника, радиотехника и системы связи;ВО;Бакалавриат;2.11.03.02 - Инфокоммуникационные технологии и системы связи;11.03.02 - Инфокоммуникационные технологии и системы связи;;11.03.02;Инфокоммуникационные технологии и системы связи;
2;Инженерное дело, технологии и технические науки;2.11.00.00 - Электроника, радиотехника и системы связи;ВО;Бакалавриат;2.11.03.03 - Конструирование и технология электронных средств;11.03.03 - Конструирование и технология электронных средств;;11.03.03;Конструирование и технология электронных средств;
2;Инженерное дело, технологии и технические науки;2.11.00.00 - Электроника, радиотехника и системы связи;ВО;Бакалавриат;2.11.03.04 - Электроника и наноэлектроника;11.03.04 - Электроника и наноэлектроника;;11.03.04;Электроника и наноэлектроника;
2;Инженерное дело, технологии и технические науки;2.11.00.00 - Электроника, радиотехника и системы связи;СПО;Подготовка квалифицированных рабочих, служащих;2.11.01.01 - Монтажник радиоэлектронной аппаратуры и приборов;11.01.01 - Монтажник радиоэлектронной аппаратуры и приборов;;11.01.01;Монтажник радиоэлектронной аппаратуры и приборов;
2;Инженерное дело, технологии и технические науки;2.11.00.00 - Электроника, радиотехника и системы связи;СПО;Подготовка квалифицированных рабочих, служащих;2.11.01.02 - Радиомеханик;11.01.02 - Радиомеханик;;11.01.02;Радиомеханик;
